"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 124, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00564516129032258, 't': 30}"
Gen,Max Fitness,Average Fitness,Normalized Fitness,Max Fitness Genome
0,0.6875,0.1230125,0.6436665288843911,1100000000111011101000110001111101011111111001011000001100011000111101110100001011100111100011000101101101000111100010011001
1,0.6875,0.5311625,0.33345775455248355,1011110110000000000010011010101101000000110101010001110111110011000110000100101100101101010000011011010111000110110011100101
2,0.6875,0.54935,0.306557195162543,1011110110000000000010011010101101000000110010001000000101110000000000100101001001010101111101001000110110001000000000111111
3,0.6875,0.5613375,0.28760721511412524,0100010010010000011101110111000110111101110001110011000011011101111101111100111001100110100000000010001000110110001100111101
4,0.6875,0.5728125,0.2684711046086321,0010111000101100101110110001000111110000101001100110100100001001001111010000110000011011101000000010000001001000111010011110
5,0.6875,0.589775,0.23822292644280568,0000010001010001010001111011101111111011100111010011011011001110000110000001010100110100101000001000101111001010111011100100
6,0.6875,0.5960625,0.22636546495435547,1000001110011101110000001001101000001111101110100110000010000000000000010111101110101000111010111111101001110101111010011010
7,0.6875,0.600575,0.2176253364211054,1011100001101001111100001010110100010010001100010100101010010101011010100011110111000100000001010011000011000011100011001110
8,0.6875,0.610675,0.19732870994670268,1111001100000011011101001101111010110101010100111001111100010000011001101011010000100101010000000000000001100000101010011101
9,0.6875,0.6066875,0.20546639122834887,0101011000010000111101001001011100110111000100001000111000001010110011011010001001010001111101001000110110001000000000111111
10,0.6875,0.6185,0.18086500655307985,1011100001101100110100101001001000110010111110010110010000000110101110010101010000001000110101101101101111110100000100011111
11,0.6875,0.6234625,0.17006938219964804,0011101101101001110110011001110101101110000000001010000101110010000000100001110111111100100000110001110101011001000001001101
12,0.6875,0.63635,0.1406572253540493,0011010010110111110110001001011101001111101110100110000010111111110100110101100100001100010110011000111110101010111010101100
13,0.6875,0.633975,0.14623318079366174,1011100001100001110110011001110101100101010100011001111101111000011010101100110111000101110000000000000001100000001000101111
14,0.6875,0.631925,0.15098824967737562,1011101101110001111001010100000111011010000100000000001010010101011010100011110111000100111010011010001101110100001000101111
15,0.6875,0.6359,0.14171930788244982,0100010011010010101110100100001011110001001100010001001100000000000000010111101110100101010011111000110000010000001000011111
16,0.75,0.6439625,0.2978267738651125,0000000000001101011000001011010101000101000000000110010011011110000101010100000011011110000000000011101010010100000101011111
17,0.75,0.64495,0.2958738205886494,0000000000001101011000001011010101000101000000000110010011011110000101010100000011011110000000000011101010010100000101011111
18,0.75,0.6416625,0.3023336937942582,0000000000001101011000001011010101000101000000000110010011011110000101010100000011011110000000000011101010010100000101011111
19,0.75,0.6443625,0.29703701100137087,0000000000001101011000001011010101000101000000000110010011011110000101010100000011011110000000000011101010010100000101011111
20,0.75,0.6433625,0.299008096456486,0000000000001101011000001011010101000101000000000110010011011110000101010100000011011110000000000011101010010100000101011111
21,0.8125,0.6283125,0.49554397175046233,1000000000001101011000001011010101000101000000000110010011011110000101010100000011011110000000010011101010010100000101011111
22,0.8125,0.6348875,0.48645965284672527,0000000000001101011000001011010101000101000000000110010011011110000101010100000011011110000000000011101010010100000001011111
23,0.8125,0.683975,0.40669250850407407,0000100000001101011000001011010101000101000000000110010011011110000101010100000011011110000001000011101010010100000101011111
24,0.8125,0.73595,0.28990721454270024,0000000000001101011000001011010101000101000000000010010011011110000101010100000011011110000000010011101010010100000101011111
25,0.8125,0.7622125,0.21148083898438746,0000000000001101011000001011010101000101000000010110010011011110000101010100000011011110000000000011101010010100000001011111
26,0.8125,0.7595375,0.22025263814524101,0000000000001101011000001011010101000101000000000110011011011110000101010100000011011110000000010011101010010100000101011111
27,0.8125,0.7641,0.20517168291649004,1011000000001101011000001011010101000101000000000110010011011110000100010100000011011110000000000011101010010100000001011111
28,0.8125,0.7667375,0.19618455602593657,0000000000001101011000001011010101000101000000000110010011011110000101010100000011011110000000010011101010010100000101011111
29,0.8125,0.770625,0.18256130790190733,0000100000001101011000001011010101000101000001000110010011011110000101010100000011011110000000010011101010010100000101011111
30,0.8125,0.7668875,0.19566732800686346,1000000000001101011000001011010101000101000000000110010011011110000101010100000011011100000000010011101010010100000101011111
31,0.8125,0.768525,0.18997731936494217,0000000000001101011000001011010101000101000000000110010011011110000001011100000011010111000000000011101010010100000001011111
32,0.8125,0.7638875,0.20588702419397514,0000000000001101011000001011010101000101000000100110010011011110000101010100000011011010000000000011101010000100000001011111
33,0.8125,0.7657625,0.19953039116281548,1000110000001101011000001011010001000101001010000110010011110110000100000100000011011110000000000011101010010100000001011111
34,0.875,0.7680625,0.4610617084343843,0000100000001101010000001011010101000101000000000110010011011110000101010100000011011110000000010011101010010100010101011111
35,0.875,0.765325,0.46734846063705116,0000100000001101010000001011010101000101000000000110010011011110000101010100000011011110000000010011101010010100010101011111
