Gen,Max Fitness,Average Fitness,Max Fitness Genome
0,0.6875,0.111125,01001011000110011101111111010010010100001111110100101010100101001001110101110101000001000100100000101100
1,0.6875,0.518525,00001101110001101010100111100000010101101101001110111011101101111100011001100101111100100000000100011101
2,0.6875,0.52455,01111111100010010001100010110111000111101001101000000101100111111111010000010001000101001011010101111100
3,0.6875,0.5374875,01010101001100111110100001001100000100010100111010110010100100010111011101000000000001011000100101000111
4,0.6875,0.55535,11001001010001011101001010001100000000100011010111110011001100000110100111001010010000110100101110010111
5,0.6875,0.5585125,00000100011001100111100011110000001100001100111110111010110001111111010000010101000001000100100000101100
6,0.6875,0.5749,00101100100001110011101110011001101011101101100011000110011010110000000000000010111001011000001000101011
7,0.6875,0.576225,00111110000011100001001111110000001100001100111110111010110001001000110111001110110100011001011001100111
8,0.6875,0.577425,00000100011100110110100011100001001101110100100110101001001101111100011101110101111100100000000100011101
9,0.6875,0.588425,01000001100011110100011101000000100001100111100111001111001000000000000000000010111001011000001100101011
10,0.6875,0.5993625,10101110011001000000000000111011101011001000010000001110100101001001110101110101000001000100100000101100
11,0.6875,0.603425,01001011000010010111101011111111100111000111101101100100110000000100011110111010100010111011101000101010
12,0.6875,0.600675,01101100100000111110101011111111100110100111011011010000000000000000100000010001101000001010100010111011
13,0.6875,0.605125,01011101111010010111101011111111100111110111100111000011000001101001010101000100001111110000000001011001
14,0.6875,0.615425,11001010001010010111101011111101100000111001101111100110100101011001000000010001101000100010010110101011
15,0.6875,0.610325,11011011001001111100000110110101101100001100110010110010100100000000110101110101000001001000000100011101
16,0.6875,0.614925,00001100011100110001111110000011110100001111000011000110011010111011100000011000101000100000000100011101
17,0.6875,0.6157375,00100101111101110111101000010101100111100111100111001111001000000000100101110111000001000100100000101100
18,0.6875,0.625175,11101101110001110101001011000100000100101111010011010011100101111100010000010000000000001011111001011100
19,0.6875,0.623525,11110011011011100111100110011001110110000100110010000010000000000001101100101111000000000000000100011101
20,0.6875,0.62555,01111100111010010111101011111111100111100111100111001111011010110000000000010010111001011000001000101011
21,0.6875,0.6288875,01110010000011010111110111011111100111100111100110001111101000000000111000100101011100100000000100011010
22,0.6875,0.625475,00001110100000011000010010001100101010010110100110010011011100101100010001011001111100100000000100011101
23,0.6875,0.6237125,11001101011001110011000000010101000101111111000010000011000001100011010101110101000001000100100000101100
24,0.6875,0.6323125,01111011110000011100010001100100110110101101101111011011011110000110100111101001000001000100100000101100
25,0.6875,0.6370875,11101110110000101000110001000010100000101110100000110010001000000000111000000110011110100000000100011101
26,0.6875,0.6405125,01100100100000110011101111000010100010001101000010000000000001100001000000010011101000001010000100011011
27,0.6875,0.6375375,01010101011110101111111000010101000101100100100110010011011100101101001001100101111100100000000100011101
28,0.6875,0.64095,00101111101010111011001001000110110010100111000011010111101110101000001001110101000000001011110001011100
29,0.6875,0.637025,10111000010000000011001100110101010101001111000111000110011010110000000000000010111001011000001000011101
30,0.6875,0.6396625,11001000001101110011001001100000010100001111111010110011011011100011000000000001000000001001111001001100
31,0.6875,0.6438875,11010010111101000010000001111100000100100101111111000001100100110111000000000010111001011100001000011101
32,0.6875,0.645325,01010101100110111010011010100010110100001000011100100110001000100000100001110001001000011000001100011101
33,0.6875,0.6446,11101000010000000110000001111100001010010010110011000001000000000000101100100101011100100000000100011101
34,0.6875,0.6524125,00000110011011100110101110011001000010011101010011000000000100010111000000010001100001000011100000101011
35,0.6875,0.6442625,00001000010000110010010010000110000110010100010001000101001000000000101100101111000000000100000100011101
36,0.6875,0.6489875,00000011001111010100011111100011000001111000010011000011000001000000000000101110000000001011111001011100
37,0.6875,0.6525625,00100000011011100110111011000110001010010110100110010011010100000100010001000010110101100000000100011101
38,0.6875,0.6528625,00110111000100101110000001100011110000100110110010100000001001000010000000000010101001001000000100011101
39,0.6875,0.6535375,11000000001100010100001010100110000100010100001001100100110110101101101100101110000010001010100000101100
40,0.6875,0.6538375,01001101011000010100100000000011000100010100010111000111000001000000111100100101011100100000000100111101
41,0.6875,0.651175,00011100011101110010000111100000111110110110000010000010011100101010000000100010000000001011111001011100
42,0.6875,0.655975,01011111110010010010000000100111110000110000101001111011011101010000110101010101000001000000000100011101
43,0.6875,0.65275,00101110111010011101110000101100000000111010010110101101001000000100010000010000000001000100100011101100
44,0.6875,0.6558625,00101101100000110010100111100010000100100011100011100000000110110000010101001011000000010000000100111101
45,0.6875,0.6572625,00011101001011100000011101000011101100100111100000010100011100000001000000000010111100110000000100011101
46,0.6875,0.6587375,01011100100001000011011010010101111111110011000110100010001101000010000001110100010001111100000100011101
47,0.6875,0.6604125,10111001001011010001001010100010000001100001000110001011110110101101100101000000011100000000001100011101
48,0.6875,0.663075,01011110110010111101101110000011110111000100101110011011100110001010010000101001011100100000001000001101
49,0.6875,0.661875,01010001100010101010101110001111000110011100110011100011011010110000101100100010111011001000001000001101
50,0.6875,0.6605875,01100100011111000111000010010110110100101111011010101011100110010000001100001011000000010100000100011101
51,0.6875,0.6583,00111001101110000110101110000000001000011011001101111000000001000000000001001001000001001000110101011100
52,0.6875,0.66265,01101110100001010000111010110011110101100100010110000111000101100001001000110101000111100100000100011101
53,0.6875,0.6590125,00100100011010110110001001110111110010101100111011000011000110000001001100101001001011001000000100011101
54,0.6875,0.6620625,00011001111000010111101000010001000101101000010010000011100100010011000000000000011100100000000100011101
55,0.6875,0.6644375,01010101001111001010101110110100110101010101101011010001011101100010000000100000111001101000001100101011
56,0.6875,0.66275,00010101001100011010000001001100000100011011000111000011000000000100100000010010111100100000000100011101
57,0.6875,0.6642875,01111000001111100111110010110011110110010111011010111010011101100100000100100001011000101000000100011101
58,0.6875,0.6625875,11111000001011110111100001110101001111010001100110000011010110001001110101001101010011011100001000011101
59,0.6875,0.6639875,00010101000010100000110000000011010111110101011011010001011110101001010000001010011000001000000100011101
60,0.6875,0.66285,01010110110101111011100001000001110101000011001100010011000100100000000000100100111001000100000100111101
61,0.6875,0.6678625,11110001110001000101011011110100001010001010000011000111000001101100111101100101100101111000000100011101
62,0.6875,0.664225,00010111011110111001000000100101110100110011101001000111000100101010000000000000111101100000000100111101
63,0.6875,0.6652125,01100100100101010010011000110101111010110100010011100011000001000011111010010001000101000100000100011101
64,0.6875,0.6689875,01100000101111100100010001001101100110111111001110000000110001110001110100111100101000101000000100011101
65,0.6875,0.6662625,01000001010011000001111000010011100010001101101111101000000110100100100000111001111000110000000100011101
66,0.6875,0.6687125,01010001010010011110100111111111000100011100111010000001100000110000101110100101011100000100001100011101
67,0.6875,0.667775,00100001011000010011011000101111011110110011000110100011001100100110111101110110011100100000000100111101
68,0.6875,0.6701,01111100011000001011100110000110000101100010101011101000001111000110111111101011011110101000000100011101
69,0.6875,0.6682875,01101100100001101001100001001100100100101100000011000011011011110111010100100011111011001000001100011101
70,0.6875,0.6681,01001001100011011010110010001110010001001111110110010010000100000000111100100110000000000000001000011101
71,0.6875,0.6675,01011010001111000100111110010011111111010101111001001001000001100101000000110101000101100000001100011101
72,0.6875,0.672025,11011101001000110011011100111110000111010110110010010011101101010001000000010101011111111100000100101101
73,0.6875,0.6694375,00100011101000010011010110101111100001111100100000100011001100111111000100001101111001101100000100011101
74,0.6875,0.6690625,00111101110100011001101000000111001001011110100010000011000110101001100100001101111011100100000100011101
75,0.6875,0.6713125,11010101111100101000110110100001110101100111011010001000011100111111100000010000010000011000000100011101
76,0.6875,0.66625,11000101011111100011110010110011110100010110101001110000111000101001110100110100011111000100001100011101
77,0.6875,0.6702625,01110010101010011101111001010110000111101100100110010000100000000010010000011001111010110100000100011101
78,0.6875,0.66685,10101001011100010010011110001000011001111010100110000000011010010011010110110001000001010100000100011101
79,0.6875,0.6696375,00111110011000011101110101000010100111111000011110000000000111000001101100010101111001100000001000011101
80,0.6875,0.666725,00010100001011011101001011000001100100100010111001011001011101000110100001111001000001000100000100111101
81,0.6875,0.6698875,00001001100110110011001001100100000100010011010010001011000110101100011101110001001010100000000100011101
82,0.6875,0.6692375,00000000001100011101101001111110001000001110101010010000001110000000001000100011111100100000000100011101
83,0.6875,0.6700375,01011111001101011010110000101111110110011010010001000111000110001010010001010011000000001000001100011101
84,0.6875,0.669325,01000100011011000100110001100100101000101111110010000110010100010000010110110101000000000000000100111101
85,0.6875,0.6697875,11001110101110011100101000010001000111100001000101100010101100001011100100001101011101100000001100001101
