"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
0,0.6875,0.1155375,00001100101100011010001100111011010011000000100000100000010101010010001000100100110101110010001010011000
1,0.6875,0.532325,01001110101001010001000001000100001110101000000001100010101001101011011111011100010000101010001010000110
2,0.6875,0.5570125,11110000011010100010101110010111110001101001010101100101111100101001111000111010100101011100001000011101
3,0.6875,0.565,10100110011011011110110110000001000100110000100100100001101100000000100100001101011100001011011000101010
4,0.6875,0.5756875,01110011110010101101010110000101000010001000100011111000011100111011110000000010111001110011101111111011
5,0.6875,0.582925,11011011100111101000110101010000101011110001110010000001011001000010100100100111000001001110110011111100
6,0.6875,0.5991875,11111101001000011010110000110011011011000000110000011011101001110111001010100110110010101001100110111000
7,0.6875,0.602975,00100000110010011001001001111000010111001001001011001011001100000100101110001111001001001010010110111010
8,0.6875,0.6124875,00000110000011100110010100000000001000010001011000011110110111011100010011111110101011010100000000010111
9,0.6875,0.6097625,11001000101110111001011110001000000000001100100011101100101000010001111111010111010110101010001111000111
10,0.6875,0.6152375,10101100000101011010111110001100100110010100010110010000111000001100111100001111001101001001100010001010
11,0.6875,0.6212625,11110001110010101100011110100011101110100010100101101100001100001100010101101000101111001111111001011010
12,0.6875,0.6258,10101111010000110010110011100110010000001000101101100011011111101100001101011100000000000001010010111100
13,0.6875,0.627325,10101100101101101101111001011000000000111110011101100101111100110001111000110010100100011100001000011101
14,0.6875,0.630125,00000100011110100010111011101100011011011111011110100111111100001011111001001010100101011100001100011101
15,0.6875,0.6322125,11110100011110100010111011101101101110010111101110111101010111001011111011100010100101011100001000011101
16,0.6875,0.6373375,10101000110110111010111010001000001100011101011000011011000101011001111111100010101011110000001100011101
17,0.6875,0.639025,01101010000010111000000010110110000011111101011010011100001100001000001000111010100101011100001000011101
18,0.6875,0.6387625,10100000111001010001000110000001010000001000101110000010100100001000011100001111001101001001000010001010
19,0.6875,0.640725,01000000000100011101000010101100100110101011110111100111010001110110000001000110000001110000001000011101
20,0.6875,0.64195,10001011000111110111000011110011101011110000001010000010011100001100001110001011101111101111011000101010
21,0.6875,0.6394625,10100110011011011110110110000100001111000000101011001010011100000100101110001011101100001010011100111010
22,0.6875,0.64465,00001100101101110100111111100001011001011111001001010100111110001011111001010110000001001000110110101100
