settings: <class 'constants.Constants'>
Gen,Max Fitness,Average Fitness,Max Fitness Genome
0,0.6875,0.113975,01010100100011001101100010110110101100000100001010110100100100010111000100001110000001000101011000101100
1,0.6875,0.5073875,11011100101111101101000111010100001000001110100001000101100011101111010100011010100111110011010010000111
2,0.6875,0.5269875,00001100011000101111100110111000011101100101110111001110110110101101111010011010011111111111001101010100
3,0.6875,0.534525,00000000111110010011111000011100100100011110001110100111100101011110101011101101010100010001011010000100
4,0.6875,0.54285,10000010100101001011011101011001101011010111110101000010000011100000111101000011101000011100001100001101
5,0.6875,0.55745,00010100001101000011111010001110111110100000000010111101001011100011011011000110111011100110010100101000
6,0.6875,0.5707875,10000010100101001011011101010011111101101110001110001011110000000100011011101000000000100011110111101010
7,0.6875,0.5821875,11101011010010111111100100101001111000000000101101100011101011100000111101000011101000011100001100001101
8,0.6875,0.586775,11101011000000000010010001000000110110101010001110010001111011001110011101100011101000011100001100001101
9,0.6875,0.595125,11101010000000000001010100000000000000000111101100101011010100010111000010101101010010111001001001010111
10,0.6875,0.6029375,10111011000100010011101011101111110100111100110101000011001111000011010011000111101111000101100010001001
11,0.6875,0.60415,10111011000100010011000101110100100011101110101010001010101011001100000110000011101000011100001100001101
12,0.6875,0.604275,00000000110100111001101110011000110100000000010001000011000110111000110011011001000011000000000100111101
13,0.6875,0.6225,11110100000110011011100000010000001010100010011000001011100010011110000000000011010110010101100111001011
14,0.6875,0.6257875,00110011101001001110101110111000011101100101110111001110100110101110110000110011111000011100001100001101
15,0.6875,0.6269125,01010000000000101011101011111101001101111010001100011000100000001100010011010010111001010100111110011010
16,0.75,0.639575,11010010100001100000110101110100101001000110110101000010000101101011010011001001000011000000101100001101
17,0.75,0.6420875,11011101110000000011100011001101110100010000110101000010000101101011010011001001000011000000101100001101
18,0.8125,0.6434375,10011101100100010101111001011110101001100000010101000010000001101011010011001001000011000000101100001101
