"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Max Fitness Genome
0,0.6875,0.112325,00011110110000100000011100010110101110101000011111011011001011101000101010000100010101110101001101100101
1,0.6875,0.5178125,01101101011110100011000010010010110100000011101001001101101101101111111111110101000010000101111010001100
2,0.6875,0.525775,00000100110100111010000010000010111100111110001111100100110010100001001001011111111101100100111001110110
3,0.8125,0.54,00001100110111001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
4,0.8125,0.5541875,00001100110111001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
5,0.8125,0.5771625,00001100110111001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
6,0.8125,0.74175,00001100110111001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
7,0.8125,0.7705125,00001100110111001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
8,0.8125,0.7707125,00001100110111011101000010010000010001001100101100000110010000000110011100111001000000011011101111011010
9,0.8125,0.767725,00001100110111001101000010010010010001001100101100000110010000000110011100111001000000001011111111011010
10,0.8125,0.7668,00001100110111001101000010010000010001001100101100000110010000000110011100110001000000001011111111011010
11,0.8125,0.7629125,00001100111101001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
12,0.8125,0.7703,00001100110111001101000010010010010001001100101100000110010000000110011100111001000000001011111111011010
13,0.8125,0.76695,00001100110111001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
14,0.8125,0.769475,00001100110111001101000010010000010001001110101100000110010000000110011100111001100000001011111111011010
15,0.8125,0.7658125,00001100110111001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
16,0.8125,0.7668875,00001100110011001101000010010000010001001100101100000110010000000110011100111001000100001011111111011010
17,0.8125,0.767325,00001100110111001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
18,0.8125,0.7647,00001100110111001101000010010000010001001100101100000110010000000110011100111001010000001011111111011010
19,0.8125,0.76725,00001100110111001101000010010000010001001100101100000110010000000110011100111001000000001011111111011010
20,0.875,0.764975,00000100110111001101000010000000010001001100101100000110010000100110011100111000010001001011011111011010
21,0.875,0.7647625,00000100110111001101000010000000010001001100101100000110010000100110011100111000010001001011011111011010
22,0.875,0.771475,00000100110111001101000010000000010001001100101100000110010000100110011100111001000000001011110111011010
23,0.875,0.766875,00000100110111001101000010000000010001001100101100000110010000100110011100111001000000001011110111011010
24,0.875,0.7693375,00000100110111001101000010000000010001001100101100000110010000100110011100111001000000001011110111011010
25,0.875,0.7913375,00000100110111001101000010000000010001001100101100000110010000100110011100111000010001001011011111011010
26,0.875,0.8105,00000100110111101101000010000000010001001100100100000110010000100110011100111001000001001011111111011010
27,0.875,0.8208,00000100110111001101000010000000010001001100101100000110010000100110011100111000010000001011111110011010
28,0.875,0.8222625,00000100110111001101000010000001010001001100101100000110010000100110011100111001000000001011111111011010
29,0.875,0.81935,00000100110111001101000010000000010001001100101100000110010000100110011101111001000000001010111111011010
30,0.875,0.8321125,00000100110111001101000010000000010001001100101100000110010000100110011100011000010001001011011111011010
31,0.875,0.8218875,00000100110111001101000010000000010001001100101100000110010000100110011100111001000000001011010110011010
32,0.875,0.8218875,00000100110111001101000010000000010001001100101100000110010000100110011101111001000000001010110111011010
33,0.875,0.8236875,00000100110111001101000010000000010001101100101100000110010000100110011100111001000000001011111111011010
34,0.875,0.8183875,00000100110111001101000010000000010001001100101100000110010000100110011100111000010001001011110111011010
35,0.875,0.828575,00000100110111001101000010000000010001001100101100000110010000100110011100111001000000001011111111011010
36,0.875,0.821825,00000100110111001101000010000000010001001100101000000110010000100110011100111000000000001110111111011010
37,0.875,0.8249625,00000100110111011101000010000000010001001100101100000110010000100110011100111000010001001011011111011010
38,0.875,0.8232125,00000100110111000101000010000010010001001100101100000110010000100110011100110000011001001011011111011010
39,0.875,0.8230375,00000100110111001101000010000000010001001100101000000110010000100110011100111000010001001011011111011010
40,0.875,0.8218625,00000100110111100101000010000000010001001100100100000110010000100110011100111001000000001011110110011010
41,0.875,0.8232375,00000100110011001001000010000000010001001100101100000110010000100110011100111000010001001011110111011010
42,0.875,0.8190875,00000100110111001101000010000000010001001100101100000110010000100110011100111000010000001011111111011010
43,0.875,0.8204875,00000100110111001101000010000000010001000100101100000110010000100110011100111001000000001111011111011010
44,0.875,0.82315,00000100110111001101000010000000010001001100101100000110010000100110011000111001000000001011110111111010
45,0.875,0.8235875,00000100110111001101000010000000010001001100101100000110010000100110011100110001000010001011011011011010
46,0.875,0.820275,00000100110111011101000010000000100001001100101100000110010000100110011100111001000000101011111111011010
47,0.875,0.8160125,00000100110111001101000010000000110001001100111100000110010000100110011100111001010001001011011111011010
48,0.875,0.8209625,00000100110111000101000010000000010001001100101100000110010000100110011100111001000000001011111110111010
49,0.875,0.8237125,00000100110111001101000010000000010001001100101100000110010000100110011100111000000001001011011111011010
50,0.875,0.8202875,00000100111111101101000010000000010001001100101100000110010000100110011100111000010001001011110111011010
51,0.875,0.8238875,00000100110111001101000010000000010000001100101100000110010000100110011100111001010010101111111111011010
52,0.875,0.823075,00000100110111001101000010000000010001001100101101000110010000100110011000111101000000001011111111011010
53,0.875,0.820525,00000100110111101101000010000000010001001100111100000110010000100110011100111000010001001011011111011010
54,0.875,0.81855,00000100110111001101000010000001010001001100101101000110010000100110011100111000010001000011111111011010
55,0.875,0.815025,00000100110111001101000010000000010001001000101111000110010000100110011100111000010001001011111111011010
56,0.875,0.82265,00000100110110001101000010000000010001001100001100000110010000100110010100111000010001001011010111011010
57,0.875,0.824,00000100110111000101000010000000011011001110101100000110010000100110011100111001000001001011110111011010
58,0.875,0.8254,00000100110111001001000010000001010001001000101100000110010000100110011100111101000000001011111001011010
59,0.875,0.8229,00000100110111100101000010000001010001001100101001000110010000100110011100111001010001001011010111011010
60,0.875,0.8204875,00000100110111001101000010000000010001001100111100000110010000100110011101111000010000101011111111111010
61,0.875,0.8240625,00000100110111001101000010000001110001111000101100000110010000100110011100111001010001001001110001011010
62,0.875,0.819275,00000100110011001101000010000000010001001100100100000110010000100110011100111101010001000011011111011010
63,0.875,0.8208,00000100110111000101000010000011010001001100101100000110010000100110011100111001000010001011110101011010
64,0.875,0.8234125,00000100110111001101000010000000010000001100101100000110010000100110011100111100010001001001111110011010
65,0.875,0.8233,00000100111111001101000010000001010000001110101100000110010000100110011100111000010000101011111101111010
66,0.875,0.8193875,00000100110111001101000010000000010001001100101100000110010000100110010100111000010000001011101100111010
67,0.875,0.819125,00000100110111001110000010000010110101011100101100000110010000100110011100110001000001001011011010101010
68,0.875,0.8172125,00000100110101001110000010000000011001001100101100000110010000100110011100110000011011001011001111011010
69,0.875,0.8257125,00000100110111001101000010000010010001000101101100000110010000100110011100111000000010001011111111011010
70,0.875,0.8184875,00000100111111011011000010000000010001001100000000000110010000100110010100101000010001001111011110011010
71,0.875,0.8184,00000100110111001101000010000000010001011100101100000110010000100110011100111001000100001011111111011010
72,0.875,0.823625,00000100110110001001000010000000010001001101101100000110010000100110010100111000010000000011111111011010
73,0.875,0.8192,00000100110111001101000010000001000001001101001100000110010000100110011100111101010000001111101111111010
74,0.875,0.8193625,00000100110111001101000010000001011001001100100100000110010000100110011100110001000000000011111110111010
75,0.875,0.8263,00000100110101001101000010000000010001001100101101000110010000100110011000111110010001001011110111111010
76,0.875,0.8140875,00000100110011001101000010000001011001001110000100000110010000100110010100111000010000011011011111011010
77,0.875,0.8142125,00000100111101001001000010000001011101001100101000000110010000100110010100111001010001001111011111011010
78,0.875,0.820375,00000100110111001000000010000000010010001100101100000110010000100110011100100100000001001011110111011010
79,0.875,0.82355,00001100010111101111000010000001010001000000101010000110010000100110010100111001100000011011111110011010
80,0.875,0.8173,00000100110101001101000010000000010000001111001010000110010000100110011000011001000001011011011110001010
81,0.875,0.820725,00000100110111011101000010000000010001101000001100000110010000100110011000101001110001011001110111011010
82,0.875,0.8233625,00000100110111101111000010000010010001001100101101000110010000100110010100111000000001001011011111011010
83,0.875,0.8208875,00000100110101001101000010000010010001001100101000000110010000100110011100111001010011001011111111011010
84,0.875,0.8212375,00000100110110001101000010000000000010101100101101000110010000100110011100000001000000100111001111011010
85,0.875,0.8173,00000100110110011111000010000000111001101110111110000110010000100110010100011001000000001011011111111010
86,0.875,0.8226375,00000100110110101101000010000001110001011100101100000110010000100110011100111000001101001011011111011010
87,0.875,0.8193125,00000100110111011101000010000010110001001100101100000110010000100110010100111000010001011011110111011010
88,0.875,0.8194125,00000100110111001101000010000001010001010101100100000110010000100110011101111001000001001011101111011010
89,0.875,0.8192875,00000100110111001001000010000010110001001100111100000110010000100110010100110001000100001011001110011010
90,0.875,0.8136625,00000100110101011101000010000000010001001100101100000110010000100110011100101000000001001011011110011010
91,0.875,0.8156375,00000100110111001100000010000000011001001100001100000110010000100110011100111001100110001001110011111010
92,0.875,0.82265,00000100110111100100000010000001010001000100001101000110010000100110010100001001000110001111111111011010
93,0.875,0.8182375,00000100110001001101000010000000010001000100101100000110010000100110011100111101000101001111011111011010
94,0.875,0.823925,00000100110111011111000010000000110101000101101100000110010000100110011100111010000001001011100000011010
95,0.875,0.8211375,00000100110000001101000010000000001001001110101100000110010000100110010100111001000011001011001111111010
96,0.875,0.8175625,00000100110111101101000010000000010000101101101100000110010000100110011110111000010000000000111111111010
97,0.875,0.8207375,00000100110111100101000010000000011001000100110010000110010000100110010111111011001000001111111110011010
98,0.875,0.8163,00000100110110001101000010000000010001001101001100000110010000100110011100110000111000011011110111011010
99,0.875,0.81645,00000100110111000101000010000000000101001100100100000110010000100110011000001000010000001001100111011010
100,0.875,0.8197,00000100110111101101000010000010010001101100101100000110010000100110011101111001000100001010110111011010
101,0.875,0.819,00000100111100001111000010000001010001111100101110000110010000100110010100011000000001001011010111011010
102,0.875,0.8229875,00000100110110001101000010000001010101001100100100000110010000100110011100110001000000011111111101011010
103,0.875,0.8219125,00000100110011001011000010000001110001001110011000000110010000100110011110011001000101101010110101011010
104,0.875,0.817775,00001100011101001101000010000000010101011000001100000110010000100110011100111000010000001001111111011010
105,0.875,0.8206125,00000100110011000101000010000000000000001100101000000110010000100110011100111001000101001111110101111010
106,0.875,0.816225,00000100110010001100000010000000000001001100111000000110010000100110011100011001000010110110011010111010
107,0.875,0.817725,00000100110101100011000010000000010000001100100101000110010000100110011000111101010100001011101111101010
108,0.875,0.8191125,00000100110111001001000010000010110001001100001100000110010000100110011110111000101000001011111101111010
109,0.875,0.81545,00000100111011001101000010000000111001011010101100000110010000100110011101011000000000111011111110011010
110,0.875,0.8199875,00000100110111001101000010000000010000000110101100000110010000100110011101011000000000111011111110011010
111,0.875,0.81595,00000100110100011111000010000010110000001101101101000110010000100110011101011001010100000010101111011010
112,0.875,0.8203625,00000100110111111001000010000000000011000100101110000110010000100110011000111001010100001011011110011010
113,0.875,0.8159625,00000100110101101011000010000000010000001000001000000110010000100110011010011001000110001010010111101010
114,0.875,0.8206625,00000100110110001101000010000000010001001100101000000110010000100110011101111010000101000010111110001010
