"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 104, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00673076923076923}"
Gen,Max Fitness,Average Fitness,Normalized Fitness,Max Fitness Genome
0,0.6875,0.10975,0.6489750070204998,10001100000100110101000010000100111001111111001100011101000000010110100011101111001010001101111001010110
1,0.6875,0.540425,0.3200239351574824,00101100100000100001001010011010000111111001011010110110101001001010100100101110101000011010101100010101
2,0.6875,0.5402375,0.3203012424893287,01011111111010000100101000111010000010110001101000000011011001001100100000100000011001100100001100011011
3,0.6875,0.547125,0.30996411813414304,10011011100000000011110101001101110000100010011110000011001111000001011101110011001000001111011110111001
4,0.6875,0.56685,0.2785409211589519,11011111111010000100101000111010000010110001101000000011011001001100100000100000011001100100001100011011
5,0.6875,0.5793125,0.257168325657406,00110010110101111111110010011011111100111100111011001101001110001101011100010001000010001000111111101100
6,0.6875,0.5862625,0.24469017190851683,00010100100100001101110010011000000000111001101001011110100100110010001100110011101110100010111111000111
7,0.6875,0.593575,0.23110044903733784,00101110000011001010101101110100001010011101110000011110011011011101010101111101000010001000111111101100
8,0.6875,0.600225,0.2183102995434932,00010000101101111101111100100100000010100111001011000001001110111101011100110001000010000000111111101100
9,0.6875,0.6121875,0.19419822723609992,01011000100000100001001010011011001011110101010100111100011110111100110000100101000001000110001011001100
10,0.6875,0.6158375,0.18654215338561148,01111110000010100000000101001100001100010111100100111100100000011001011010001110000010001011011101011100
11,0.6875,0.6224125,0.1723772635481841,00111101110011010101110010011011111101101100111011001100001110001101011100010000000010001000110011101100
12,0.6875,0.631075,0.15294436538591843,10110100100000110000001011110111010000110100000010100011010110011011000010101011000010001011010001011100
13,0.6875,0.6290875,0.15748323391635488,00110011110100101101110001101011001001000011001001111110010100001000010000111110000010001000111111001100
14,0.6875,0.6352375,0.1432781604468661,00101100111000100110011011010101011111010111010001100011001110001010110100110101000010001000100101011100
15,0.6875,0.6465,0.11598302687411607,00101110000010010001101000011000001000000010000011011001001001111010011010110100000001000100001010001100
16,0.6875,0.6466,0.11573288058856832,10110011000101011101111101100101110111000100111000010010010100111101110001011100000000001100110001101100
17,0.6875,0.656425,0.0904460452594047,11010010111100010001001101110100000000100100000010100011111100010110111000000101000001000100001010001100
18,0.6875,0.6502125,0.10660043597898732,00110011111010000001001010010011101010010111100100111100010001001101101000010111000010000010001010001100
19,0.6875,0.654175,0.0963637678016339,00111100110000010010101010111111111111000100111000010010101011001001101000011001000001001100010010111100
20,0.6875,0.6577375,0.08695810963807026,11010000011000100001001000010000000010101001001110101001000011110011100000100101000001000101001010001100
21,0.6875,0.659525,0.08216462295322703,10000101001001100001011000011010001101111100111011001100001110101101011100010001000010001000111111101100
22,0.6875,0.662225,0.07482791799274678,00100111100000000011001010100100110010010000010110101101011110111100000000001111000010000000111001001100
23,0.6875,0.6617375,0.07616126528953111,10011011100000000111101101110000011000000010000010010100011111001101111100110001000000001100010001001100
24,0.6875,0.66225,0.07475943745373796,00110000111000001010101010100101011010110001000000000011011001001101001100010100000000001100111010001100
25,0.6875,0.6642875,0.06914398480842975,01011100100010101001100010111111110111000100101010100010100110111010011011011110000010000011010101001100
26,0.6875,0.6646375,0.06817249990681727,00010100100000110001011101011000001011011011011010100011111100110110111000000101000001000101010010111100
27,0.6875,0.6646875,0.06803355079217152,11011000011010110001101000011000001000000010000101111110010110000000011001101011000000000010101110011100
28,0.6875,0.6648375,0.06761645470480745,10001110001111110100101000101001110010000111010001100001111100110110011100000111000010000110010011011100
29,0.6875,0.6669375,0.06173766185025344,01010101001001100111011101010000011111000011000001110001000100110110111010010001000010000000110111101100
30,0.6875,0.6681375,0.05834494707898588,00000110010111010111110001100000010000010111010001100011110100001100001100110011000001000100101110111100
31,0.6875,0.6670875,0.06131491007396823,10011111011110100010101101011100001011011000011000101100101110110111111000000001000001000100001010111100
32,0.6875,0.668325,0.05781261777342293,01110011001001100111011101001000000000110110010010110111100001001101100010011101000010000011011110111100
33,0.6875,0.6668,0.062124849939976134,01010100101010000100101000101001110010000100100011000010010110000011101001000101000010001011010111101100
34,0.6875,0.669425,0.054677455947969314,01111110110000010100111000001011101110010111000010011100101000011011000011011100000000001100010010111100
35,0.6875,0.6687125,0.05671056106855815,00000110110101111111111101011011011000110011001011001100101110100011110100111100000010001001010101001100
36,0.6875,0.669425,0.054677455947969314,11000100100011010101110010111010010000010111001010000000101110010110111010110100000000001000101101111100
37,0.6875,0.667325,0.060644773427519505,01111110000000000011100010111111110111011010001010010100001001001100100100010000000000000010101101011100
38,0.6875,0.6693375,0.05492760745473095,01001001101101111101000100110001001110011111000011011001001110011010000110100001000001001001111111101100
39,0.6875,0.669025,0.05581992597628225,00101100110101000100111000111000011010011100100011000010011001101101011101000001000010001000001111101100
40,0.6875,0.667,0.06156156156156146,01001001001100011101010101010101011011111101110011001110101110001000110010001011000001001100010010111100
41,0.6875,0.66705,0.06142063372878802,11001001010111111101011001100001101011011111010011000000000111011101001100000101000000001011010001101100
42,0.6875,0.670275,0.0522405034498447,01010100000001110101100100111100111110111110111011000000101110111100100000001111000011001100011111111100
43,0.6875,0.671625,0.0483441187666539,11000100110100111111110011100100000000110000010111101100111111111010100010110111000000000000001001011100
44,0.6875,0.668825,0.05639012606627915,10110100101100010010010000010100010011110000000100111000101110001111000011110100000000001011010101011100
45,0.6875,0.6675375,0.06004436590592922,11100101110101110100111000111010001011011100010011100110010100001000011100111110000011000011011101111100
46,0.6875,0.669375,0.054820415879016864,01011110100100011110101101011101010110000100110000000110001110100110110000111100000001001100010010111100
47,0.6875,0.6686375,0.05692406352559509,01011100110101111001010010011011001000011001101100000100011110111100110100000011000010001001101110111100
48,0.6875,0.6686375,0.05692406352559509,11111111000010111000000000000100001001110011000000011100101110100101011001101011000010000011011100101100
49,0.6875,0.6693,0.05503477472029027,00101001100000000010100001011111100100110000100000101100001010011101010000011101000010001011110101011100
50,0.6875,0.6696125,0.05414097082970738,00000100010101111111100101110000011110001111001110101111011100101111011000111001000000001000011100111100
51,0.6875,0.668375,0.05767056162834512,01000100110100111111110010001001111011010001101011001010011100011111010001011100000001000110011011111100
52,0.6875,0.6663375,0.0634248679429063,10011100110111111010101010011100000000100001010110111101111001100100011110110110000010001011010101011100
53,0.6875,0.6679125,0.058982948771031676,00000011100001100001000100011000001000000011100010101110010000001111001101111011000010001000111111101100
54,0.6875,0.6689875,0.05592689097843749,11000000100000111101111001001000000010100111000010010100011100111101101100001000000000000010101101101100
55,0.6875,0.6711875,0.049610340239498056,00010101001111011001011010111010001000101111010001100011101110000101011100100110000011000001001110111100
