"settings: {'CHANGING_GOAL': True, 'N_pop': 5000, 'B': 124, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00564516129032258, 't': 30, 'INIT_GOAL': ('EQ', 'OR', 'XOR'), 'GOALS': [('XOR', 'OR', 'XOR'), ('EQ', 'OR', 'XOR'), ('XOR', 'OR', 'EQ')]}"
Gen,Max Fitness,Average Fitness,Normalized Fitness,Max Fitness Genome
0,0.75,0.1615,0.7018485390578414,1111111001001100110110101111111110100101101111101101110001011000111110111001011100001000110000011110000000000000001110001101
1,0.6875,0.4657125,0.41510890672156847,0001001110011011110010111011100101110100011000111100101110101111111111011111100100001100010101010011010011011100000011011100
2,0.6875,0.557575,0.29366559303836803,0001111110000100100110101111000000100001001011011001000001100001100111110100100010111011011111111111011011111100011100100111
3,0.6875,0.5697,0.2737624912851499,0001111110000100100110101111000000100001001011011001000001100001100111110100111100001100000111011100111100011001111110111100
4,0.6875,0.576375,0.2623192682207141,0000010000010110100110100001100111001101010001010101000011000100001000010100001111000110000000100001000100100110011011001101
5,0.6875,0.5894625,0.238802789026581,1000010010101110001111110111101011100010100011011110111100110000000110111001000010011110001001110101111100001000000100101111
6,0.6875,0.5901,0.23761893144669438,1000010001100101010000110100000100100101001011101101010000011011000011001001100100001100001001110101111100001000000100101111
7,0.6875,0.600675,0.21742941213297448,1101110100000011100010101000010101011101101000001111111011100100010001100111101010111100100000000011001010011111100111001101
8,0.6875,0.6030625,0.21272240592032762,0100100010000100010001011011011110100101101111101100110001011000111110111001011100001000000000010011110001110110101000101101
9,0.6875,0.6131875,0.19211504281790273,0001111010000100100001011111001011110110000000001011000100010001110000000010001101010000110000100001101110110011111101001101
10,0.75,0.55165,0.4423999107839858,0100010101010111001011111111001011100010111001011110111100110000001100011001011100001100101100100011011001010100110100001010
11,0.75,0.5549,0.43832846551336785,0100010101010111001011111111001011100010111001011110101100110000001100011001011100001100101100100011011001010100110100001010
12,0.75,0.5912375,0.3883979083208465,0001110001110111100100001111001011100010111001011110111100110000001100011001011100001100101100100011011001010100110100001010
13,0.75,0.7027625,0.1589217376676901,1111011001001100110110001101101011100010111001011110111100110000001100011001011100001100101101000011011001010100110100001010
14,0.75,0.7222625,0.09986948107475574,0100010001100110100001111001001011101010111001011110111100110000001100011001011100001100101100100011011001010100110100001010
15,0.75,0.7199625,0.10726242021157896,0100010101010111001011111111001011100010111001011110111100110000001100011000011100001100101100100011011001010100110100001010
16,0.75,0.722775,0.09820542880331878,0100010101010111001011111111001011100010011001011110111100110000001100011001011100001100101100100011011001010100110100001010
17,0.75,0.722125,0.10031488978857395,0100010101010111001011111111001011100010111001011110111100110000001100011001011100001100101100100011011001010100110100001010
18,0.75,0.7233,0.09649439826526907,0100010101010111001011111111000010110100110011101100001110110000001100011001011100001100101100100011011001010100110100001010
19,0.75,0.7196125,0.10837679996433511,0100010101010111001010111111001011100010111001011110111100110000001100011001011100001100101100100011111001010100110100001010
20,0.75,0.7229125,0.09775792845220387,0001110001010100001011111111001011100010110001011110111100110000001100011001011100001100101100100011011001010100110100001010
21,0.75,0.72295,0.09763580581122547,0110011111101000010110100011100111001101010010101010111100110000001100011001011100001100101100100011011001010110110100001010
22,0.75,0.7217125,0.10164847504828646,0100010101010111001011011111001011100010111001011110111100110000001100011001011100001100101100100111111001010100110100001010
23,0.75,0.7171125,0.11625646237461876,0100010101010111001011111111001011010010111001011110111100110000001100011001011000001100101100100011011001010100010110001010
24,0.75,0.7245375,0.09243544947134383,0100010101110111001011111111001011100011010000101010111100110000001100011001011100001100101100100011011001010100110100001010
25,0.75,0.723975,0.09428493795851814,0111111001001011101011111110001011100010111001011110111100110000001100011001011100001100101100100011011001010100111101001010
26,0.75,0.7228375,0.09800207459522836,1000010101010111011110111111001011100010111001011110111100110000001100011001011100001100101100100011011001010100110100001010
27,0.75,0.72065,0.10506533023089311,0100010101010111001011111111001011100010111001011100111000110000001100011001011100001100101100100011011001000100110000001010
28,0.75,0.726625,0.08550525834476463,1100011110111110100110101011110111100010111001011110111100110000101100011001011100001100101100110011011001010100110100001010
29,0.75,0.7237375,0.09506357178408206,0001111101100000101010001100000011100000111001011110111100110000001100011001011100001100101101100011011001010100110100001010
30,0.75,0.72425,0.09338168631006363,1111100001010111001111111111101011100010111001011110111100110000001100011011011100001100101100100011011001010100110100001010
31,0.75,0.7222625,0.09986948107475574,1000010001110111001011111111001011100010011010011110111100110000001100011001011100001100101100100011111001010100110100001010
32,0.625,0.4879625,0.2676317652515685,1100010101010110100001111001001011100011110001111110111100110000001100011001011100000100101100100001011111010100110110001010
33,0.75,0.566175,0.42373076701434914,0100010001010111100110111111001011100010111011011110111110110000001100011011111100000100001100100011011001110000110100001010
34,0.75,0.604975,0.3671286627428643,1111011001001100110110001101101011100010111001001110111101110000001100011011111100000100001100000011011000110000110100001010
35,0.75,0.64245,0.30079709131589993,0100010101010111001110111111001011100111111110101110110100110000001100011011111100000100001100100011011001110000110100001010
36,0.75,0.7174375,0.11523999115240006,0100010001010111100110111111001011100010111011011110111110110000001100011011111100000100001100100011011001110000110100011010
37,0.75,0.586425,0.3955147192165871,0110010111010100010110100001100111000010111001011110111100110000101100011001011100001100101100100011011001010100110100001010
38,0.75,0.604475,0.367928702357626,0110010111010100010110100001100111000010111001011110111100110000101100011001011100001100101100100011011001010100110100001010
39,0.75,0.6378,0.30977360574268353,0100010001010111100110111111001011100010111011011110111110110000001100011001011100001100101100100011011001010100110100001010
40,0.75,0.71855,0.11174276070349966,0111111101001000100000001111000011000010011001011110111100110000101100011001011100001100101100100011011001010100110100001010
41,0.75,0.7232,0.09682080924855506,0100010001010111100110111111001011100010111001011110111110110000111100011001011100001000101100100011011001110000110100001010
42,0.5625,0.5441625,0.040228151479419764,0110010111010100010110100001100111000010111001011110111100110000101100011001011100001100101100100011011001010100110100101010
43,0.6875,0.541975,0.31772283172315924,0110010111010100010111111111100000100010110011011110111110110000001100011001111100011100101100100011011001010100110100001010
44,0.75,0.7204875,0.10558561781673466,0100010001010111100010111111001010000010101001011110100100110000101100011001011100001100101100100011011001000100110100001010
45,0.75,0.7213125,0.10293787844808246,0110010111010100010110100001100111100010111011011110111100110000101100011001011100001100100100100011011001010100110100001010
46,0.75,0.721375,0.10273665320771651,0110010101010100010110100001100111000010111001011110111100110000101100011101011100001100101100100011011011110000110100001010
47,0.75,0.7231625,0.09694315257145424,0100010001010100010110100001100111000010111001011110111100110000101100011001011100001100100100100001011001010100110100001010
48,0.5625,0.544425,0.03967513581737355,0110010111010110100110111101100111000010111001011110111100110000111100011001011100001100101100100011011101010110110100001010
49,0.75,0.5881375,0.39300130504719416,0001010101010111001110100001100111000010111011011110111100110000101100001101011100000100001100100001011001010100110100001010
50,0.75,0.6043875,0.3680685013744511,0001010101010111001110100001100111000010111011011110111100110000101100001101011100000100001100100001011001010100110100001010
51,0.75,0.6468125,0.29216067952574765,0001010101010111001110100001100111000010111011011110111100110000101100001101011100000100001100100011011001010100110100001010
52,0.75,0.7220125,0.10067898736453995,0110010111010100011110100001100111000010111011011110111100110000101100001101011100000100001100100001011001010100110100001010
