"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 124, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00564516129032258, 't': 30, 'INIT_GOAL': ('XOR', 'AND', 'XOR'), 'GOALS': [('XOR', 'OR', 'XOR'), ('EQ', 'OR', 'XOR'), ('XOR', 'OR', 'EQ')]}"
Gen,Max Fitness,Average Fitness,Normalized Fitness,Max Fitness Genome
0,0.9375,0.1263875,0.9284579833736354,0110000011000111000111100011101111100101000000110000100110000010101010001101110111000000000100000011010001101011111111101010
1,0.9375,0.8175125,0.6575107884101651,0110000011000111000111100011101111100101000000110000100110000010101010001101110111000000000100000011010001101011111111101010
2,0.9375,0.8142375,0.6635488863468139,1110000010100111101011110010000010100100000111101010011000010111000011001011101111001001100101111001010011101100010011011011
3,0.9375,0.812675,0.6663552649139196,0100110111000000011000001101111000100011000011000110011011111011111010000111010000011110111001100111001110111000001101101110
4,0.9375,0.823325,0.6462431017404839,0110000011000111000111100011101111100100000111101010011000010111000011001011101111001001100101111001010011101000010011011011
5,0.9375,0.8241875,0.6445076430856738,0110110111000000011000001101111000100011000011000110011011111011111010000111010000011010111001100111001110111000001101101110
6,0.9375,0.8243,0.6442800227660784,0110000011000100011001110010001010100101000111101010011000010111000011001011101111001001100101111001000011101000010011011011
7,0.9375,0.8248375,0.6431884678512809,0110000011000111000111100011101111100101000000110000100100010111000011001011101111001001100101111001010011101000010011011011
8,0.9375,0.828025,0.6365750835877307,0110000011000111000100001101111000100011000011000110011011111011111010000111010000011110111001101111001110111000001101101110
9,0.9375,0.841425,0.6058647327762888,0110000011000111000111100011101111100101000000110000100110000010101010001111110000011110000100000011010001101000111111101010
10,0.9375,0.843375,0.6009577015163607,0110110110100111101011110010000010100100000111101010011000010111001011001011101111001001100101111001010011101000010011011011
11,0.9375,0.8430875,0.6016888393212778,0110000011000111000110010010100011100101000000100001100100000010101010001101110111000000000100000011010001111011111111101010
12,0.9375,0.8497875,0.583922776067238,0110110111000010011010001101111000100110000011101010001011111011100011001011101111000000000101100111001110111000001111101110
13,0.9375,0.8439375,0.5995194233079696,1110000110100111000110100010000010100101100100110000011000010111000011001011101110001110111001101111001110111000001101101110
14,0.9375,0.852475,0.5763429927130995,1110000101000000011100001101111111100111000111110010011011111011111010000111010000011110111101100111001110111000001101101110
15,0.9375,0.857375,0.5617879053461876,1110100011000111000111100011101100100011000011000110011011111011111010000111010000011110111001100111001110111000001101101110
16,0.9375,0.8580625,0.5596653456627038,0110000011000111001111100011101111101101000000110110011011111011111010001011101111001001100101111001010011101000010011011011
17,0.9375,0.8662625,0.5326666043555471,0110000011000111000111110010000010000100000111101000011000010111100010000111010111000000011001000111001110111001001101101110
18,0.9375,0.8666,0.5314842578710643,0110110100100111000111100011101111100101000000110010100110000010101010001101110111000000011001100011001110111000001101101110
19,0.9375,0.870025,0.5191382958261203,0110110111000000011000001101111001101100000101101010010100010111101010000111010000011110111001100111001110111000001101101110
20,0.9375,0.8813375,0.47329611292531343,0110000011000000011100001101011000110000100111101010011000010111000010001011010000011110011001100111001110111000001101101110
21,0.9375,0.8777375,0.48880482568244576,0110000011000111000111100010101111100101000000110110011011111011011110000111010000011110111011100111001110111001001101101110
22,0.9375,0.8874,0.44493783303730033,0110000010100111101001110010000010110100000111101010011011111011100011001111101111001110110001100111001110111000001101101110
23,0.9375,0.889325,0.43528348768917985,0111110011000111000000101101100010100011000011000100100000111100111010000111001111001000111101100111001110111010001101101110
24,0.9375,0.8906375,0.4285061149845698,0110100110000110011000001110111000100001000000110010100101000010101010011101100111000000111001100111001110111000001101101110
25,0.9375,0.891025,0.4264739619178713,1110000011001111110101110010000010100100000111101000011000010010101010001011111111001000011001100111001110111000001101101110
26,0.9375,0.8898875,0.4323986831649447,1110000111000000010000001001111000100011000011000110011010000010101000001101110000011101100101111001001110111000001101101110
27,0.9375,0.8911125,0.42601308690161876,0110010011000100011010001001110000100101000000111000110110000010101011001111101111001001111001100111001110111000001101101110
28,0.9375,0.893025,0.41575134377190953,1110010011010111000111111011101101100100000010100001011011110011111010010111010000011110111001100100001110111000001101101110
29,0.9375,0.8960375,0.39882169051340605,0110111111000111000000000011101010100100000000111010011110000011111011010101110111000000011001100011001110111000100101101110
30,0.9375,0.89415,0.4095418044402456,0110010011000000011000001101111000101111000110101010100110000010101010001011010000010110100101111011001110111000001101101110
31,0.9375,0.9003125,0.3730407523510974,0110110111000000011000001001111000100101000000100000100110000111000010011011101111001101111001100101001110111000001111101110
32,0.9375,0.8955125,0.40184232563703765,0110110011101111000110100011101111101011000111000000100011010111000011001011101001101110111001110111001110111000000101111110
33,0.9375,0.8996,0.3774900398406377,0110000011000111000100001101111000100101000000110000111010010010000011001011101111001001100101111011001110111000001101111110
34,0.9375,0.902225,0.36077729480951126,1110110011000111000000001101111000100100000000111010010110000111000011001011110000001010111001100111001110111000001100001110
35,0.9375,0.8977875,0.3885288002935064,1100000110100000010000001111110000100011000010110111010110000001101010001101101111000000011001100111001110111000001101101110
36,0.9375,0.90135,0.3664470349721238,0100110111000000011111100011101110100011001000101001011011011011111010010111011001011100111001100110001110111000001101101110
37,0.9375,0.90095,0.3690055527511356,0110000010000111000000001101111010100100001110101010011100011010111000001101110111010000111001100111001110111000001101101110
38,0.9375,0.9013,0.36676798378926045,0110000110100111101000000011101111100101000011000110011011111011111010001101110111000000111001100010001110111000001101101110
39,0.9375,0.900075,0.3745308981736305,0110000011000111000011110010000111100100000111011010001000010110000011001010101111010110111001100111001110111000001101101110
40,0.9375,0.904,0.34895833333333315,1110101011000101110111100011101111100101010000110000010010000010101010000011010000010000010000100111001110111000001101101110
41,0.9375,0.8989625,0.3814177904243474,0110100101000011001011110011101101100101100111000110011011101011101011000111000000011110101001100011001110111000001010001110
42,0.9375,0.904475,0.3457210154409838,0110000100100111101001010101101110100011000011000110011011111011111010000111010000011110111001100111001110111000101101101110
43,0.9375,0.90465,0.34452018877818597,0100100111000000001001011101111010100101000010001000111010010011100010001011101111000000000100010111001110111000001101101110
44,0.9375,0.904275,0.3470880125359098,0110001010100111100001110010000010100011000011010110011111001011111010001101110100011010000111110111001110111010000101101110
45,0.9375,0.90385,0.3499739989599581,0110100110110111010111100001111101100011000000101010001011111011111010001010101111001001100101111011001110111000000101101110
46,0.9375,0.9014125,0.36604539114999396,0100110111000111010111001011100010100101000000111000100010001010100011001111110100011110111001101111001110111000001101101110
47,0.9375,0.9069875,0.3280473054696953,1110000111010111100111110010000011100101000001110000000110000110101010000001010111001000000100000101001110111000011101101110
48,0.9375,0.9038375,0.35005849473547407,0110000011000000110000101101111000100010000000001010101010010001000011001111101000011110111101100011001110111000001111101110
49,0.9375,0.902775,0.3571612239650296,0110000111000111010011100011000000100011010110110010001000110011110110001011110111000101101101001011001110111000001101101110
50,0.9375,0.9078,0.32212581344902347,0110000010100111010010100101001011010100000101001010011000000010101011001011101111011100110001101111001110111000001101101110
51,0.9375,0.9016,0.364837398373984,1111110110100110100111101101101011000101000011101000001011011011100010001101010110010010111101100101001110111000001101101110
52,0.9375,0.9027375,0.357409073383884,1110010011000101000111100111010010100000100110110110100110000001111010001101110000111100100101111001001110111000001101101110
53,0.9375,0.9010875,0.3681283963098696,0010011010100111001000001111101110101011000111000110101000011011000011001010101101000000011001000111001110111000001101001110
54,0.9375,0.903275,0.3538382010855515,0110110111100111000111100101111111110101101011001010000000011011011110000110110010101110110001100111001110111000101101101110
55,0.9375,0.9045625,0.3451211525867711,0110110011100111000110100101111100000100000011000111011111111011100011001111110111001110011101100111001110111000001111101110
56,0.9375,0.90465,0.34452018877818597,0110100111000111000111111010001011100111000001111010011011101000000000000011001110011000111001100011001110111000001110101110
57,0.9375,0.9061125,0.33430967913726545,0110100011000111010111101101000011100010000110111110000000000101101000001111110101011010111101110111001110111001001101111110
58,0.9375,0.9037125,0.35090224587822905,0110000101000011001111100011100101100011101011000110011011100011001011000111111000011110111001100111001110111000001100101110
59,0.9375,0.90565,0.337572866984632,1010110110100111101111111011110111110110000101000010011111010011100011001101100011001000111001100111001110111000001100001110
60,0.9375,0.9065875,0.3309246621169544,1010010011100111101011110011111101100000010010110001011011111011101010011011010110111111111011100111001110111001001101001110
61,0.9375,0.89705,0.3929091792132102,0110110111100001011000001101111010100011000000110000100110010010101111001101100100000000001001101111001110111000101100101110
62,0.9375,0.905425,0.3391488236849059,0111110110000111100011110010001110110101000111101110001111111011010110000011010100011110001011110111001110111000111100101110
63,0.9375,0.905525,0.33844932521831156,1110001111110110111100000101111011100000000110100000100110010011010011001001010000111111101001110111001110111000000101111110
64,0.9375,0.8998125,0.37616968184653765,1010110011100110011111111110011101100101000001100111011000000111001010001011110001000101100001100011001110111000001101001110
65,0.9375,0.900525,0.37170143252073373,1100010111010110000111010101111100100011001011000110011000101111000011000111010111000000000010000111001110111000001101001110
66,0.9375,0.902225,0.36077729480951126,0110110001100110001111100011101000100101000001100100000110010011100010000111000010011111111111110111001110111000101100001110
67,0.9375,0.9059375,0.33554817275747545,0110000011000111101111101000100011100110000100110100110100010111011001001011010010111110110100100111001110111000101101101110
68,0.9375,0.8992,0.37996031746031744,1110000000100110000100100011111010101101000011000000010011111011000011001101110111010100011001100111001110111010001101001110
69,0.9375,0.9056875,0.33730947647448656,0110100111100011100010010010000010100011000000000100001010000011001110001011101000010001110101101011001110111010001101101110
70,0.9375,0.9007625,0.370197757904018,0110100110100111101000000011101111101101000001100100100110000011000111010101110001011100111001100111001110111001001101101110
71,0.9375,0.904925,0.3426242440178808,0110000111000100001011100010100111100101000010010100101001110011101010001010101111001001111101111011001110111000001101101110
72,0.9375,0.9016125,0.3647567018167956,1010000111100100011010011001111111100011001011100000101001110111000010010111011000001100110001100111001110111000001011101110
73,0.9375,0.9015875,0.3649180744316018,1100110111000110000011110111101110100101100100111001011111100001000001000101010001011110111001100011001110111010001001101110
74,0.9375,0.9047,0.3441762854144809,0110100101010111101010001011101111000001010011000110001000010110000000000111111111011110110101100111001110111011011011101110
75,0.9375,0.8992125,0.37988341808259973,1111000110000111101011110010110000110001010000110010110101111011101010011011101101001000011001100111001110111000100101101110
76,0.9375,0.8992875,0.37942162095072596,1110100111100111000110101111100101000101000011101010001100000000000011001011110101101101101001000111001110111000011101101110
