"settings: {'CHANGING_GOAL': False, 'N_pop': 5000, 'B': 124, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00564516129032258, 't': 30, 'INIT_GOAL': ('EQ', 'OR', 'XOR'), 'GOALS': [('XOR', 'OR', 'XOR'), ('EQ', 'OR', 'XOR'), ('XOR', 'OR', 'EQ')]}"
Gen,Max Fitness,Average Fitness,Normalized Fitness,Max Fitness Genome
0,0.75,0.1585125,0.7029070544719915,1011011010101000100110010000000001010011110011011111110111111000001101110011100100110100010000000000110100010011011110001100
1,0.75,0.5429625,0.45299893334792,0011011010101000100110010000000001010011110011011111110111111000001101110011100100110100010000000000110100010011011110001100
2,0.75,0.7123625,0.1308504628221285,1011011010101000100110010000000001010011110011011111110111111000001101110011100100110100010000000000110100010011011110001100
3,0.75,0.7221375,0.10027441630302762,1011011010101000100110010000000001010011110011011111110111111000001101110011100100110100010000000000110100010011011110001100
4,0.75,0.7202625,0.10630501809732329,1011011010101000100110010000000001010011110011011111110111111000001101110011100100110100010000000000110100010011011110001100
5,0.75,0.7213875,0.1026963973260354,1011011010101000100110010000000001010011110011011111110111111000001101110011100100110100010000000000110100000011011110001100
6,0.75,0.7217625,0.10148703895053694,1011011010101000100110010000000001010011110011011111110111111000001101110011100100110100010000000000110101010011011110001100
7,0.75,0.7205125,0.10550561295227873,1011011010101000101110010000000001010011110011011111110111111000001101110011100100110100010000000000110100010011011110001100
8,0.75,0.7211875,0.10334005828289627,1011011010101000100110010000000001010011110011011111110111111000001101110011100100110100010000000000110100010011011110001100
9,0.75,0.7206125,0.10518545031542216,1011011010101000100110010000000001010011100011011111110111111000001001110011100100110100010000000000110100010011011110001100
10,0.75,0.7203625,0.10598542756246922,1011011010101000100110010000000001010011110011011111110111111000001101010011100100110100010000000000110100010011011110001100
11,0.75,0.719425,0.10897264546021569,1011010101000011101100111000110111110010101011110100111011100001011010110011100100110100010000000000110100010011011110001100
12,0.75,0.719325,0.10929010421305783,1010011000000010001100010000000001010011110011011111110111111000001101110011100100110100010000000000110100010011011111001100
13,0.75,0.724525,0.09247663127325537,1011011010101000100110010000000001010011110011011111110111111000001101110011101100110100010000000000110100010011011110001100
