"settings: {'CHANGING_GOAL': True, 'N_pop': 5000, 'B': 124, 'Pc': 0.5, 'L': 100000, 'MAX_GATES': 12, 'G': 20, 'Pm': 0.00564516129032258, 't': 30, 'INIT_GOAL': ('XOR', 'OR', 'XOR'), 'GOALS': [('XOR', 'OR', 'XOR'), ('EQ', 'OR', 'XOR'), ('XOR', 'OR', 'EQ')]}"
Gen,Max Fitness,Average Fitness,Normalized Fitness,Max Fitness Genome
0,0.6875,0.12735,0.6418953761530969,0011101100000010000000101011100010100010001011111011101000111010000000010010011111101111010010000111111101110001111101000101
1,0.6875,0.5232625,0.3445030021762501,0000110000101000101011011110010100010010010010100001110011110101100111000001111100010011001011111000100101110110011010000100
2,0.6875,0.5402875,0.3202273159855344,1111111001001010000111110010110000000011000100111010110011110000100011000111001010000011011110011000110010000000111111110111
3,0.6875,0.5530375,0.3008361999049138,0101010101101110100101011110000001111101110010010000011101110000110000010110100100110000101101000101000000001101100010011110
4,0.6875,0.5769875,0.26125114506072517,0000100011110010000000101011101010000100000011001111100100110010110001111000110100101100001111100010011110000101101101011000
5,0.6875,0.5921375,0.23381041404885228,0001111110000001001100100010111000000111111111001011101100100001001001001111001111000010001111100111101101000100001100111111
6,0.6875,0.604375,0.21011058451816747,0101010101101110100101011110000001110010001100011110111000000100110011011100001110010010100110100010000011001110000001101110
7,0.6875,0.6105125,0.1976635963926955,1000000001110110100111100000101010000100000001001010000101001010001011001001101010100100110011110011111110000101101101011000
8,0.6875,0.6167625,0.18457875338399818,0110111111111001011101011101111111010110101111000000010110000000000101000001011011010100011110011011110010000000001000011111
9,0.6875,0.621075,0.17529854192782204,0011101100000010000000101011100010110101001011011111111111100000100000100101101000000001101011111001000000000001000000011110
10,0.75,0.561425,0.429972068631363,0001011011111111011001000001101000100001010111001010011001111001101010011111000100000110100000110101000010111100000000011110
11,0.75,0.5832125,0.40017394955462915,0011010011110011001110000000000110011010010101111111000110110001010001011010100000010000100100010101000010111100000100001110
12,0.75,0.65295,0.2796427027805791,1010110010000100010100101101111111000111011111100011110100101101010000100110101101010000100100110101000000111100000100011110
13,0.75,0.7023875,0.1599815195934309,0011101100000000000000100001101011000100000001111111000110110001010001011010100000010000100100010101000010111100000100001110
14,0.75,0.7052625,0.15178760761694723,1010110011110011001111000000000111001110010101111001100011110110010011000110101101010000100100110101000000111100000100011110
15,0.75,0.7098875,0.13826532810547632,0111011101110011001110000000011001000101010000111010011110110001010001011000100000010100100100010101000010111100000100001110
16,0.75,0.5214125,0.47762948259200255,0010001100111010101011000001000000100011011111100011110100101101010000100110101101010000100100110101000000011100000100011110
17,0.75,0.5815125,0.40261059171420893,0010001100111010101011000001000000100011011111100011110100101101010000100110101101010000100100110101000000011100000100011110
18,0.75,0.6095875,0.3596516504978709,0010001100111010101011000001000000100011011111100011110100101101010000100110101101010000100100110101000000011100000100011110
19,0.75,0.718375,0.11229471815357306,0010001100111010101011000001000000100011011111100011110100101101010000100110101101010000100100110101000000011100000100011110
20,0.75,0.721075,0.10370171192973014,0010001100111010101011000001000000100011011111100011110100101101010000100110101101010000100100110101000000011100000100011110
